Input Size,Tree,Build Time,Search Time,LSH Time
40000,QUAD-TREE,0.307912766933441165,0.00724917650222778325,6.15698248147964475
40000,R-TREE,0.4896815419197082325,0.08096683025360107325,7.2735559940338135
40000,K-D,0.1231745481491088875,0.00100481510162353515,5.7291836738586425
40000,Range-TREE,3.06183524131774875,0.002669513225555420025,7.12541717290878295
80000,QUAD-TREE,0.608655273914337175,0.01474601030349731425,12.222168684005737
80000,R-TREE,1.213627517223358125,0.05522525310516356375,14.52932232618331925
80000,K-D,0.3050803542137145925,0.002249360084533691425,12.054583787918091
80000,Range-TREE,4.75636558921913925,0.00450593233108520505,9.87813001871109025
120000,QUAD-TREE,0.924619734287261975,0.022331058979034424,18.33559513092041025
120000,R-TREE,1.983466804027557375,0.0807125568389892575,22.10304266214370625
120000,K-D,0.52657735347747804,0.0032509565353393555,19.247420966625214
120000,Range-TREE,9.197890339177296,0.006754219532012938675,24.361639497559711689425
160000,QUAD-TREE,1.2294266819953896,0.02886331081390379875,26.4942473173141315
160000,R-TREE,3.01234120130538925,0.10993778705596924,44.6098301410675065
160000,K-D,0.7189180850982666,0.004245042800903320325,25.47304785251617425
160000,Range-TREE,13.56392082684483227,0.01193982362747192425,39.20610043518986344425
200000,QUAD-TREE,1.574704051017761225,0.0362499952316284185,33.3686580657958985
200000,R-TREE,4.152056813240051125,0.133665382862091065,58.947771489620208
200000,K-D,0.9305512309074402,0.0039975643157958984,33.36067545413970875
200000,Range-TREE,18.37132005131244503,0.01737511157989501975,51.47883401548862329875



